w_ch1;w_ch2;w_ch3
5,87E+01;-7,63E+00;0.6713867
5,80E+00;-9,16E+00;0.579834
5,94E+01;-7,63E+00;0.6408691
5,71E+01;-8,70E-01;0.50354
5,36E+01;-9,16E+00;0.6408691
5,04E-01;-7,63E+00;0.6561279
4,56E+01;-9,77E+00;0.6103516
3,80E+01;-9,31E+00;0.6561279
4,03E+00;-7,17E+00;0.6408691
4,06E+01;-4,58E+00;0.579834
4,06E+01;-3,66E+00;0.6561279
5,52E+01;-6,10E-01;0.5645752
7,25E+01;1,37E+00;0.4882812
8,56E+01;3,97E+00;0.6103516
8,67E+01;6,10E+00;0.5340576
8,36E+01;4,88E+00;0.50354
7,23E+01;4,73E+00;0.6561279
6,42E+00;-1,22E+00;0.6408691
4,78E+01;3,36E+00;0.5493164
3,22E+01;-3,05E-01;0.4577637
1,30E+01;-3,51E+00;0.7019043
2,18E+01;-3,51E+00;0.6103516
4,44E+01;-3,97E+00;0.4272461
4,15E+01;-4,88E+00;0.4882812
5,07E+01;-6,10E-01;0.5645752
8,38E+01;4,58E-01;0.5493164
8,61E+01;6,87E+00;0.50354
6,73E+01;9,77E+00;0.7476807
6,32E+01;7,93E-01;0.7324219
5,89E+01;4,43E+00;0.579834
3,91E+00;7,63E-01;0.6408691
3,60E+01;-7,78E+00;0.4577637
2,93E+01;-1,10E+01;0.6408691
2,91E+01;-6,56E+00;0.5645752
2,46E+01;-4,88E+00;0.50354
3,36E+01;-3,66E+00;0.7324219
4,67E+01;-5,80E-01;0.5645752
4,14E+01;-3,51E+00;0.6713867
4,21E+01;-1,68E+00;0.7781982
4,09E+01;1,53E+00;0.4882812
5,78E+01;4,88E+00;0.4577637
6,26E+01;5,80E-01;0.4119873
5,66E+01;5,95E+00;0.5950928
5,49E+01;6,41E+00;0.5493164
5,57E+01;4,88E+00;0.6713867
5,54E+01;1,98E+00;0.7171631
3,25E+01;-3,05E-01;0.579834
2,85E+01;-3,20E+00;0.4730225
3,95E+01;-2,90E-01;0.6561279
4,39E+01;-3,36E+00;0.6713867
4,94E+01;-4,58E-01;0.5187988
4,20E+01;3,05E-01;0.4882812
5,02E+01;3,81E+00;0.5187988
6,15E+01;3,66E+00;0.6256104
6,65E+01;6,87E+00;0.5645752
4,39E+01;5,04E+00;0.5950928
2,79E+01;2,75E+00;0.7019043
3,68E+01;2,75E+00;0.4119873
6,10E+01;4,12E+00;0.7171631
6,48E+01;2,90E-01;0.6408691
6,09E+01;-6,10E-01;0.4577637
6,44E+01;-2,29E+00;0.6561279
5,08E+01;7,63E-01;0.6561279
4,14E+01;-7,63E-01;0.6103516
4,00E+01;-7,63E-01;0.6408691
3,04E+01;1,98E+00;0.579834
2,67E+01;1,07E+00;0.5493164
3,13E+01;1,22E+00;0.6866455
3,45E+01;9,16E-01;0.3662109
3,45E+01;4,43E+00;0.579834
3,52E+00;1,53E+00;0.6561279
4,27E+01;-1,37E+00;0.6408691
5,57E+01;-1,07E+00;0.5493164
6,01E+01;-6,10E-01;0.4577637
5,63E+01;-4,27E+00;0.4272461
5,05E+01;-2,75E+00;0.579834
4,64E+01;-4,58E-01;0.6103516
4,75E+01;-1,68E+00;0.5950928
5,29E-01;1,53E-01;0.5950928
5,28E+01;2,75E+00;0.6408691
4,97E+01;3,97E+00;0.6408691
4,59E+01;3,20E+00;0.6256104
4,91E+00;3,51E+00;0.6713867
4,94E+01;6,10E+00;0.579834
4,82E+01;5,49E+00;0.4882812
4,61E+01;6,26E+00;0.6713867
4,39E+01;6,56E+00;0.6408691
4,62E+01;2,90E-01;0.7019043
4,53E+00;1,83E+00;0.6561279
4,55E+01;3,81E+00;0.6103516
5,20E+01;4,27E+00;0.5340576
5,54E+01;3,97E+00;0.50354
6,26E+01;1,16E+01;0.6713867
5,54E+01;1,14E+01;0.579834
4,65E+01;9,61E+00;0.5187988
4,93E+01;8,54E+00;0.5340576
5,57E+01;6,71E+00;0.5493164
5,51E+01;2,90E-01;0.6103516
5,86E+01;-1,22E+00;0.5187988
5,16E+01;-1,53E+00;0.6103516
5,31E+01;-1,22E+00;0.6103516
5,46E+01;-2,75E+00;0.5340576
5,69E+01;-1,53E+00;0.6408691
6,03E+01;1,22E+00;0.6256104
6,90E+01;4,58E-01;0.6408691
6,82E+01;2,90E-01;0.4577637
5,92E+00;6,10E-01;0.579834
6,24E+01;-2,29E+00;0.6561279
5,87E+01;1,37E+00;0.5493164
6,00E+01;-2,44E+00;0.5187988
5,11E+01;-1,53E-01;0.50354
4,62E+01;4,58E-01;0.6256104
4,23E+01;2,90E-01;0.6103516
6,04E+01;3,20E+00;0.6408691
5,74E+01;3,66E+00;0.5950928
6,00E+01;4,12E+00;0.4119873
